county,reporting,yes_votes,yes_percent,no_votes,no_percent,reporting_time,download_timestamp
sacramento,0.0% (0 of 602) precincts reporting,0,0.0,0,0.0,"September 14, 2021, 6:56 p.m.",2021-09-15T01:59:07+00:00
san-benito,0.0% (0 of 18) precincts reporting,0,0.0,0,0.0,"September 14, 2021, 6:56 p.m.",2021-09-15T01:59:07+00:00
san-bernardino,"0.0% (0 of 1,749) precincts reporting",0,0.0,0,0.0,"September 14, 2021, 6:56 p.m.",2021-09-15T01:59:07+00:00
san-diego,"0.0% (0 of 1,825) precincts reporting",0,0.0,0,0.0,"September 14, 2021, 6:56 p.m.",2021-09-15T01:59:07+00:00
san-francisco,0.0% (0 of 611) precincts reporting,0,0.0,0,0.0,"September 14, 2021, 6:56 p.m.",2021-09-15T01:59:07+00:00
san-joaquin,0.0% (0 of 269) precincts reporting,0,0.0,0,0.0,"September 14, 2021, 6:56 p.m.",2021-09-15T01:59:07+00:00
san-luis-obispo,0.0% (0 of 93) precincts reporting,0,0.0,0,0.0,"September 14, 2021, 6:56 p.m.",2021-09-15T01:59:07+00:00
san-mateo,0.0% (0 of 338) precincts reporting,0,0.0,0,0.0,"September 14, 2021, 6:56 p.m.",2021-09-15T01:59:07+00:00
santa-barbara,0.0% (0 of 115) precincts reporting,0,0.0,0,0.0,"September 14, 2021, 6:56 p.m.",2021-09-15T01:59:07+00:00
santa-clara,0.0% (0 of 509) precincts reporting,0,0.0,0,0.0,"September 14, 2021, 6:56 p.m.",2021-09-15T01:59:07+00:00
santa-cruz,0.0% (0 of 85) precincts reporting,0,0.0,0,0.0,"September 14, 2021, 6:56 p.m.",2021-09-15T01:59:07+00:00
shasta,0.0% (0 of 98) precincts reporting,0,0.0,0,0.0,"September 14, 2021, 6:56 p.m.",2021-09-15T01:59:07+00:00
sierra,0.0% (0 of 23) precincts reporting,0,0.0,0,0.0,"September 14, 2021, 6:56 p.m.",2021-09-15T01:59:07+00:00
siskiyou,0.0% (0 of 54) precincts reporting,0,0.0,0,0.0,"September 14, 2021, 6:56 p.m.",2021-09-15T01:59:07+00:00
solano,0.0% (0 of 187) precincts reporting,0,0.0,0,0.0,"September 14, 2021, 6:56 p.m.",2021-09-15T01:59:07+00:00
sonoma,0.0% (0 of 324) precincts reporting,0,0.0,0,0.0,"September 14, 2021, 6:56 p.m.",2021-09-15T01:59:07+00:00
stanislaus,0.0% (0 of 87) precincts reporting,0,0.0,0,0.0,"September 14, 2021, 6:56 p.m.",2021-09-15T01:59:07+00:00
statewide,"0.0% (0 of 18,185) precincts reporting",0,0.0,0,0.0,"September 14, 2021, 6:56 p.m.",2021-09-15T01:59:07+00:00
