county,reportTypeCode,reportType,reportNumber,correctionReportnumber,precinctsReporting,precinctsTotal,precinctsReportingPercent,voterTurnout,totalRegisteredVoters,voterTurnoutPercentage,firstReportTimestamp,lastReportTimestamp,statusFirstReportTimestamp,statusLastReportTimestamp,countyLink,countyName,timestamp,download_timestamp
23,,,0,0,0,250,0.0,,55020,,,,,,https://www.mendocinocounty.org/government/assessor-county-clerk-recorder-elections/elections/election-candidate-information,Mendocino,"September 14, 2021, 6:56 p.m.",2021-09-15T01:59:07+00:00
24,,,0,0,0,269,0.0,,122524,,,,,,https://www.co.merced.ca.us/3697/September-14-2021-California-Gubernatori,Merced,"September 14, 2021, 6:56 p.m.",2021-09-15T01:59:07+00:00
25,,,0,0,0,21,0.0,,5260,,,,,,http://www.co.modoc.ca.us/departments/elections/current_election.php,Modoc,"September 14, 2021, 6:56 p.m.",2021-09-15T01:59:07+00:00
26,,,0,0,0,12,0.0,,8035,,,,,,https://monocounty.ca.gov/elections/page/september-14-2021-california-gubernatorial-recall-election,Mono,"September 14, 2021, 6:56 p.m.",2021-09-15T01:59:07+00:00
27,,,0,0,0,188,0.0,,210325,,,,,,https://www.montereycountyelections.us/election-description/e/125,Monterey,"September 14, 2021, 6:56 p.m.",2021-09-15T01:59:07+00:00
28,,,0,0,0,191,0.0,,84814,,,,,,http://www.countyofnapa.org/Elections/,Napa,"September 14, 2021, 6:56 p.m.",2021-09-15T01:59:07+00:00
29,,,0,0,0,112,0.0,,75575,,,,,,https://www.mynevadacounty.com/3281/Sept-14-2021-Gubernatorial-Recall-Electi,Nevada,"September 14, 2021, 6:56 p.m.",2021-09-15T01:59:07+00:00
30,,,0,0,0,1801,0.0,,1807543,,,,,,https://www.ocvote.com/elections/2021-california-gubernatorial-recall-election,Orange,"September 14, 2021, 6:56 p.m.",2021-09-15T01:59:07+00:00
31,,,0,0,0,265,0.0,,277153,,,,,,https://www.placercountyelections.gov/current-elections/,Placer,"September 14, 2021, 6:56 p.m.",2021-09-15T01:59:07+00:00
32,,,0,0,0,29,0.0,,14204,,,,,,http://www.countyofplumas.com/index.aspx?NID=142,Plumas,"September 14, 2021, 6:56 p.m.",2021-09-15T01:59:07+00:00
33,,,0,0,0,763,0.0,,1293324,,,,,,https://www.voteinfo.net/,Riverside,"September 14, 2021, 6:56 p.m.",2021-09-15T01:59:07+00:00
34,,,0,0,0,602,0.0,,873180,,,,,,http://www.elections.saccounty.net/ElectionInformation/Pages/InfoUpcomingElect.aspx ,Sacramento,"September 14, 2021, 6:56 p.m.",2021-09-15T01:59:07+00:00
35,,,0,0,0,18,0.0,,36935,,,,,,http://sbcvote.us/registrar-of-voters/,San Benito,"September 14, 2021, 6:56 p.m.",2021-09-15T01:59:07+00:00
36,,,0,0,0,1749,0.0,,1132989,,,,,,http://www.sbcountyelections.com/,San Bernardino,"September 14, 2021, 6:56 p.m.",2021-09-15T01:59:07+00:00
37,,,0,0,0,1825,0.0,,1970788,,,,,,https://www.sdvote.com/content/rov/en/elections/election_information.html,San Diego,"September 14, 2021, 6:56 p.m.",2021-09-15T01:59:07+00:00
38,,,0,0,0,611,0.0,,503841,,,,,,https://sfelections.sfgov.org/,San Francisco,"September 14, 2021, 6:56 p.m.",2021-09-15T01:59:07+00:00
39,,,0,0,0,269,0.0,,380844,,,,,,https://www.sjgov.org/department/rov/info/election_information,San Joaquin,"September 14, 2021, 6:56 p.m.",2021-09-15T01:59:07+00:00
40,,,0,0,0,93,0.0,,184744,,,,,,"https://www.slocounty.ca.gov/Departments/Clerk-Recorder/All-Services/Elections-and-Voting/Elections-Conducted-by-County-of-San-Luis-Obispo/September-14,-2021,-California-Gubernatorial-Recal.aspx",San Luis Obispo,"September 14, 2021, 6:56 p.m.",2021-09-15T01:59:07+00:00
41,,,0,0,0,338,0.0,,440809,,,,,,https://www.smcacre.org/current-election,San Mateo,"September 14, 2021, 6:56 p.m.",2021-09-15T01:59:07+00:00
42,,,0,0,0,115,0.0,,238548,,,,,,https://countyofsb.org/care/elections/voting/upcoming/september-14-2021.sbc,Santa Barbara,"September 14, 2021, 6:56 p.m.",2021-09-15T01:59:07+00:00
43,,,0,0,0,509,0.0,,1012905,,,,,,https://sccvote.sccgov.org/elections/september-14-2021-california-gubernatorial-recall-election,Santa Clara,"September 14, 2021, 6:56 p.m.",2021-09-15T01:59:07+00:00
44,,,0,0,0,85,0.0,,169744,,,,,,"https://www.votescount.us/Home/Elections/September14,2021GubernatorialRecallElection.aspx",Santa Cruz,"September 14, 2021, 6:56 p.m.",2021-09-15T01:59:07+00:00
45,,,0,0,0,98,0.0,,113287,,,,,,https://www.elections.co.shasta.ca.us/california-gubernatorial-recall-election-september-14-2021/,Shasta,"September 14, 2021, 6:56 p.m.",2021-09-15T01:59:07+00:00
46,,,0,0,0,23,0.0,,2238,,,,,,http://www.sierracounty.ca.gov/216/Upcoming-Elections,Sierra,"September 14, 2021, 6:56 p.m.",2021-09-15T01:59:07+00:00
47,,,0,0,0,54,0.0,,29162,,,,,,https://www.co.siskiyou.ca.us/elections/page/current-election,Siskiyou,"September 14, 2021, 6:56 p.m.",2021-09-15T01:59:07+00:00
48,,,0,0,0,187,0.0,,262097,,,,,,https://www.solanocounty.com/depts/rov/default.asp,Solano,"September 14, 2021, 6:56 p.m.",2021-09-15T01:59:07+00:00
49,,,0,0,0,324,0.0,,304891,,,,,,https://sonomacounty.ca.gov/CRA/Registrar-of-Voters/Elections/September-14-2021-California-Gubernatorial-Recall-Election/,Sonoma,"September 14, 2021, 6:56 p.m.",2021-09-15T01:59:07+00:00
50,,,0,0,0,87,0.0,,282482,,,,,,https://www.stanvote.com/,Stanislaus,"September 14, 2021, 6:56 p.m.",2021-09-15T01:59:07+00:00
51,,,0,0,0,29,0.0,,52576,,,,,,https://www.suttercounty.org/government/county-departments/clerk-recorder/elections,Sutter,"September 14, 2021, 6:56 p.m.",2021-09-15T01:59:07+00:00
52,,,0,0,0,33,0.0,,37603,,,,,,http://www.co.tehama.ca.us/gov-departments/elections,Tehama,"September 14, 2021, 6:56 p.m.",2021-09-15T01:59:07+00:00
53,,,0,0,0,25,0.0,,7633,,,,,,https://www.trinitycounty.org/Elections,Trinity,"September 14, 2021, 6:56 p.m.",2021-09-15T01:59:07+00:00
54,,,0,0,0,83,0.0,,206752,,,,,,https://tularecoelections.org/elections/registrar-of-voters/current-election-information/september-14-2021-california-gubernatorial-recall-election/,Tulare,"September 14, 2021, 6:56 p.m.",2021-09-15T01:59:07+00:00
55,,,0,0,0,41,0.0,,35414,,,,,,http://www.co.tuolumne.ca.us/index.aspx?nid=194,Tuolumne,"September 14, 2021, 6:56 p.m.",2021-09-15T01:59:07+00:00
56,,,0,0,0,697,0.0,,509797,,,,,,https://recorder.countyofventura.org/2021-governor-recall/,Ventura,"September 14, 2021, 6:56 p.m.",2021-09-15T01:59:07+00:00
57,,,0,0,0,32,0.0,,121550,,,,,,http://www.yoloelections.org/,Yolo,"September 14, 2021, 6:56 p.m.",2021-09-15T01:59:07+00:00
58,,,0,0,0,36,0.0,,40997,,,,,,https://www.yuba.org/departments/elections/current_election.php,Yuba,"September 14, 2021, 6:56 p.m.",2021-09-15T01:59:07+00:00
59,,,0,0,0,18185,0.0,0,22057610,0.0,,,,,,Statewide,"September 14, 2021, 6:56 p.m.",2021-09-15T01:59:07+00:00
1,,,0,0,0,521,0.0,,948561,,,,,,https://www.acvote.org/election-information/elections?id=241#,Alameda,"September 14, 2021, 8:01 p.m.",2021-09-15T03:04:41+00:00
2,,,0,0,0,5,0.0,,919,,,,,,http://www.alpinecountyca.gov/index.aspx?NID=388,Alpine,"September 14, 2021, 8:01 p.m.",2021-09-15T03:04:41+00:00
3,,,0,0,0,30,0.0,,26475,,,,,,https://www.amadorgov.org/government/elections,Amador,"September 14, 2021, 8:01 p.m.",2021-09-15T03:04:41+00:00
4,,,0,0,0,156,0.0,,124878,,,,,,https://clerk-recorder.buttecounty.net/elections/archives/eln46/46_eln_main.html,Butte,"September 14, 2021, 8:01 p.m.",2021-09-15T03:04:41+00:00
5,,,0,0,0,29,0.0,,32542,,,,,,https://elections.calaverasgov.us/Next-Election/Special-Election,Calaveras,"September 14, 2021, 8:01 p.m.",2021-09-15T03:04:41+00:00
6,,,0,0,0,18,0.0,,10078,,,,,,http://www.countyofcolusa.org/index.aspx?NID=197,Colusa,"September 14, 2021, 8:01 p.m.",2021-09-15T03:04:41+00:00
7,,,0,0,0,958,0.0,,708401,,,,,,https://www.cocovote.us/election/california-gubernatorial-recall-election/#Election,Contra Costa,"September 14, 2021, 8:01 p.m.",2021-09-15T03:04:41+00:00
8,,,0,0,0,18,0.0,,15044,,,,,,http://www.co.del-norte.ca.us/departments/clerk-recorder/elections,Del Norte,"September 14, 2021, 8:01 p.m.",2021-09-15T03:04:41+00:00
9,,,0,0,0,103,0.0,,137856,,,,,,https://www.edcgov.us/Government/Elections,El Dorado,"September 14, 2021, 8:01 p.m.",2021-09-15T03:04:41+00:00
10,,,0,0,0,279,0.0,,501955,,,,,,https://www.co.fresno.ca.us/departments/county-clerk-registrar-of-voters/election-races/california-gubernatorial-recall-election-september-14-2021,Fresno,"September 14, 2021, 8:01 p.m.",2021-09-15T03:04:41+00:00
11,,,0,0,0,34,0.0,,14654,,,,,,http://www.countyofglenn.net/dept/elections/welcome,Glenn,"September 14, 2021, 8:01 p.m.",2021-09-15T03:04:41+00:00
12,,,0,0,0,47,0.0,,86191,,,,,,https://humboldtgov.org/2944/38189/Statewide-Special-Election-Governor-Reca,Humboldt,"September 14, 2021, 8:01 p.m.",2021-09-15T03:04:41+00:00
13,,,0,0,0,219,0.0,,88476,,,,,,https://elections.imperialcounty.org/,Imperial,"September 14, 2021, 8:01 p.m.",2021-09-15T03:04:41+00:00
14,,,0,0,0,20,0.0,,11063,,,,,,https://elections.inyocounty.us/,Inyo,"September 14, 2021, 8:01 p.m.",2021-09-15T03:04:41+00:00
15,,,0,0,0,727,0.0,,437208,,,,,,https://kernvote.com/ElectionInformation/CurrentElectionInformation?ElectionID=112,Kern,"September 14, 2021, 8:01 p.m.",2021-09-15T03:04:41+00:00
16,,,0,0,0,30,0.0,,61800,,,,,,https://www.countyofkings.com/departments/administration/elections,Kings,"September 14, 2021, 8:01 p.m.",2021-09-15T03:04:41+00:00
17,,,0,0,0,70,0.0,,37599,,,,,,http://www.lakecountyca.gov/Government/Directory/ROV/Upcoming/Upcoming.htm,Lake,"September 14, 2021, 8:01 p.m.",2021-09-15T03:04:41+00:00
